储能/MWh,产量/t,吨氨成本/元,弃电/MWh,分支节点数
0,46.18642409638554,5916.8676784280115,177.2918,3
1,46.510240752391155,5891.696251454618,172.59488888888887,3
2,46.57517087287309,5890.21502331803,171.48377777777776,3
3,46.64010099335501,5888.737919371544,170.37266666666665,3
4,46.70503111383694,5887.2649224146,169.26155555555556,3
5,46.76993022751289,5885.798876736341,168.14971186818082,3
6,46.83473048775385,5884.345821168761,167.03637408149632,3
7,46.89953074799481,5882.896780924042,165.92303629481185,3
8,46.964331008235774,5881.45173938144,164.80969850812735,3
9,47.02913126847673,5880.010680011825,163.6963607214429,3
10,47.093931528717704,5878.5735863770315,162.5830229347584,3
11,47.158731788958676,5877.140442129257,161.46968514807392,3
12,47.22353204919963,5875.71123101042,160.35634736138945,3
13,47.2883323094406,5874.285936851557,159.24300957470496,3
14,47.353132569681556,5872.864543572211,158.1296717880205,3
15,47.41793282992252,5871.447035179822,157.01633400133602,3
16,47.48273309016349,5870.033395769132,155.90299621465152,3
17,47.54753335040445,5868.6236095215945,154.78965842796703,3
18,47.61233361064542,5867.2176607047695,153.67632064128256,3
19,47.67713387088638,5865.815533671761,152.5629828545981,3
20,47.741934131127344,5864.417212860608,151.4496450679136,3
21,47.8067343913683,5863.022682793736,150.33630728122913,3
22,47.87153465160927,5861.631928077368,149.22296949454466,3
23,47.93633491185024,5860.244933400965,148.10963170786016,3
24,48.001135172091196,5858.861842144339,146.9955325863484,3
25,48.065808187973516,5857.493511384184,145.87996366181483,3
26,48.13047884769401,5856.129056149657,144.7643947372813,3
27,48.195149507414484,5854.768262703553,143.64882581274773,3
28,48.259820167134976,5853.411116324907,142.5332568882142,3
29,48.32449082685545,5852.057602371567,141.41768796368063,3
30,48.38916148657594,5850.707706279649,140.3021190391471,3
31,48.45383214629641,5849.361413563025,139.18655011461357,3
32,48.51850280601689,5848.0187098128,138.07098119008,3
33,48.583173465737374,5846.6795806968,136.95541226554644,3
34,48.64784412545785,5845.344011959066,135.8398433410129,3
35,48.71251478517834,5844.011989419333,134.72427441647937,3
36,48.77718544489882,5842.683498972553,133.6087054919458,3
37,48.84185610461931,5841.358526588369,132.49313656741228,3
38,48.90652676433979,5840.037058310648,131.37756764287872,3
39,48.97119742406027,5838.7190802569685,130.26199871834518,3
40,49.03586808378075,5837.404578618149,129.14642979381165,3
41,49.10053874350123,5836.093539657759,128.03086086927806,3
42,49.16520940322171,5834.785949711642,126.91529194474452,3
43,49.2298800629422,5833.481795187441,125.79972302021099,3
44,49.29455072266268,5832.181139824903,124.68377324216178,3
45,49.35922138238317,5830.884268477408,123.565968708561,3
46,49.423892042103645,5829.590791015831,122.44816417496025,3
47,49.48856270182413,5828.300694134989,121.33035964135952,3
48,49.553233361544606,5827.013964599149,120.21255510775876,3
49,49.61790402126509,5825.730589241588,119.09475057415801,3
50,49.68257468098557,5824.450554964137,117.97694604055727,3
51,49.747245340706044,5823.173848736738,116.85914150695652,3
52,49.811916000426535,5821.900457596997,115.74133697335577,3
53,49.87658666014701,5820.630368649751,114.62353243975502,3
54,49.9412573198675,5819.3635690666315,113.50572790615428,3
55,50.00592797958798,5818.10004608563,112.38792337255353,3
56,50.070598639308464,5816.839787010673,111.27011883895278,3
57,50.13526929902894,5815.582779211192,110.15231430535204,3
58,50.199939958749425,5814.329010121707,109.03450977175127,3
59,50.2646106184699,5813.078467241405,107.91670523815053,3
60,50.32928127819039,5811.831138133722,106.79890070454978,3
61,50.39395193791087,5810.587010425936,105.68109617094903,3
62,50.45862259763136,5809.346071808755,104.56329163734829,3
63,50.523196425053996,5808.115980440227,103.44548710374754,3
